PG.ProteinGroups,PG.Genes,[1] 20231022_AL_HBSS_pooled_DIA1.raw.PG.Quantity,[2] 20231022_AL_HBSS_pooled_DIA2.raw.PG.Quantity,[3] 20231022_AL_HBSS_pooled_DIA3.raw.PG.Quantity,[4] 20231022_AL_HBSSbaf_pooled_DIAbaf1.raw.PG.Quantity,[5] 20231022_AL_HBSSbaf_pooled_DIAbaf2.raw.PG.Quantity,[6] 20231022_AL_HBSSbaf_pooled_DIAbaf3.raw.PG.Quantity
P46734,MAP2K3,18279,20062.140625,20908.427734375,22454.466796875,19274.18359375,21333.060546875
P46736,BRCC3,15846.228515625,11930.5546875,13685.6123046875,13411.3271484375,15348.4892578125,18539.1640625
P46776,RPL27A,1173354.625,1100218.125,1174580.125,1116206,1153232.25,1160778.875
P46777,RPL5,1889823.75,1730360.625,1810587.5,1836197,1869101.75,1899084.125
P46778,RPL21,638693.0625,586499.8125,643431.4375,602466,643350.875,642559.1875
P46779,RPL28,1353847,1227497.25,1300898.75,1452323.125,1432362.75,1418364.75
P46781,RPS9,1879847.125,1798168,1954671.125,1868231.25,2011458,2027134.5
P46782,RPS5,644109.5625,620353.125,637268.9375,604211.8125,593500.8125,614811.1875
P46783,RPS10,449413.96875,441776.15625,497841.1875,498170.375,516313.375,503305.78125
P46821,MAP1B,149535.390625,143790.4375,153404.078125,157745.6875,161634.03125,166649.640625
P46926,GNPDA1,48021.44921875,43937,43365.72265625,44383.77734375,50441.109375,46811.328125
P46934,NEDD4,21406.046875,33204.4453125,26721.173828125,24070.1796875,40845.27734375,39985.9453125
P46937,YAP1,17537.859375,16855.654296875,19315.76953125,20545.138671875,15354.1337890625,15900.0068359375
P46939,UTRN,113498.765625,99579.0546875,106506.8125,116955.53125,117083.8984375,123281.171875
P46940,IQGAP1,351247.25,330004.53125,343563.15625,346001.96875,363610.09375,353113.625
P46976,GYG1,26927.869140625,19708.935546875,14369.2021484375,22456.107421875,28271.685546875,26134.34765625
P46977,STT3A,259018.40625,248263.9375,254004.46875,250313.953125,260328.4375,268912.125
P47224,RABIF,22957.10546875,19020.4921875,20769.724609375,23821.921875,22067.529296875,23613.9140625
P47712,PLA2G4A,2654.838134765625,2249.590576171875,2693.155029296875,4221.5986328125,3227.56689453125,2427.599609375
P47736,RAP1GAP,1355.6197509765625,3896.18115234375,2191.98974609375,660.8251342773438,3226.72998046875,2080.845947265625
P47755,CAPZA2,196260.15625,183141.359375,195917.828125,205379.671875,210563.5625,193384.203125
P47756,CAPZB,572994.75,553046,585820.8125,566713.625,578822.6875,589627.1875
P47813,EIF1AX,40586.4609375,34591.01171875,37161.26171875,38716.73046875,38142.60546875,41637.9140625
P47895,ALDH1A3,18306.974609375,15863.404296875,17564.05859375,19412.103515625,22047.87109375,20477.501953125
P47897,QARS,127147.0703125,119345.625,121907.578125,132465.828125,139052.265625,133626.421875
P47914,RPL29,477971.84375,432880.84375,466023.65625,530116.75,521452.0625,491956.625
P47985,UQCRFS1,635661.3125,580832.375,678583.8125,628190.75,675124.625,685421.4375
P48047,ATP5O,332663.625,316575.09375,339027.8125,340089.84375,348756.46875,345446.375
P48059,LIMS1,28995.6015625,29286.505859375,32070.30078125,32717.720703125,32506.767578125,33706.84765625
P48147,PREP,17196.998046875,12193.462890625,15574.7294921875,16941.798828125,14534.5126953125,15228.2900390625
P48163,ME1,141201.828125,129716.0078125,135520.625,141352.265625,148428.1875,140886.84375
P48307,TFPI2,10684.0283203125,9449.5927734375,8823.3154296875,12413.3095703125,12098.84375,12740.26171875
P48426,PIP4K2A,26265.64453125,22650.4453125,25309.759765625,22562.775390625,27638.986328125,22258.3046875
P48444,ARCN1,177044.90625,169203.390625,173395.71875,185739.15625,187332.578125,186599.53125
P48449,LSS,58701.32421875,57072.9921875,61291.93359375,63946.984375,65567.1484375,65935.53125
P48506,GCLC,139427.421875,137580.09375,144381.28125,144363.0625,151590.53125,151879.75
P48507,GCLM,56076.2578125,50441.9921875,53486.23046875,50345.48046875,54238.90234375,51065.89453125
P48509,CD151,398041.15625,377914.9375,417270.03125,432582.625,448781.46875,437556.9375
P48556,PSMD8,148435.4375,134235.8125,141218.59375,145653.375,148544.015625,151347.421875
P48634,PRRC2A,38733.89453125,37047.48046875,38332.49609375,40252.203125,45784.94921875,40255.44921875
P48637,GSS,93119.0234375,88760.3828125,91120.5703125,96939.3203125,100427.34375,102619.28125
P48643,CCT5,471536,438838.875,472614.75,474092.90625,486523.375,486463.875
P48651,PTDSS1,34924.609375,35338.0703125,31175.041015625,31117.115234375,30666.650390625,31728.01171875
P48668;SWISS-PROT:P48668,KRT6C;,5088.005859375,3544.832763671875,1969.04052734375,12719.12890625,14851.1328125,18482.771484375
P48681,NES,33621.34375,27905.5546875,26234.294921875,30478.48046875,30176.08984375,30820.087890625
P48723,HSPA13,6837.79833984375,8835.9931640625,8706.9306640625,5504.36669921875,7627.8984375,7575.3623046875
P48729,CSNK1A1,78379.1328125,62294.01953125,74980.328125,79246.2421875,69623.109375,71335.6640625
P48730,CSNK1D,22986.072265625,17429.82421875,20581.287109375,15734.1455078125,19324.033203125,21756.87109375
P48735,IDH2,118718.171875,107306.1953125,112220.84375,114528.2734375,111244.9296875,120985.9140625
P48739,PITPNB,25040.58203125,24449.94921875,25754.779296875,27932.73828125,29085.373046875,28146.3359375
P48960,CD97,22794.9140625,21464.6953125,22518.248046875,24632.728515625,24741.669921875,24532.416015625
P49005,POLD2,35517.7578125,30622.0234375,34099.19140625,34926.875,38151.5625,33934.57421875
P49006,MARCKSL1,144689.578125,136712.71875,132521.46875,137665.890625,119150.4921875,124146.296875
P49023,PXN,63122.19921875,53623.41015625,59997.96875,65947.1328125,67169.1796875,62202.6171875
P49189,ALDH9A1,203316.421875,197329.796875,212511.125,204657.34375,214974.1875,208305.40625
P49207,RPL34,539292.25,513913.96875,543169.8125,568374.9375,588967.0625,604733.75
P49247,RPIA,13901.2958984375,13157.5751953125,14627.09765625,14759.57421875,13551.5771484375,13082.728515625
P49257,LMAN1,315364.6875,298806.625,319560.46875,327490.75,342521.25,341533
P49321,NASP,306512.625,278398.625,305667.84375,299455.28125,309550.09375,321387.9375
P49327,FASN,621259.3125,581149.625,622894.5625,635174.1875,678331.375,677763.1875
P49336;Q9BWU1,CDK8;CDK19,908.2215576171875,1040.686767578125,2333.79931640625,3399.950439453125,1016.87060546875,1575.767822265625
P49354,FNTA,15392.40234375,13377.5849609375,16033.1875,15068.08203125,14954.70703125,17955.46875
P49368,CCT3,764178.875,697442.4375,785456.125,801533.1875,814667.25,820185.0625
P49406,MRPL19,121389.671875,110466.984375,118510.9765625,112621.8203125,116162.7890625,114368.21875
P49411,TUFM,1037891,999798,1002076.9375,1068102.875,1065401.125,1074564.25
P49419,ALDH7A1,196635.0625,192453.09375,190657.3125,201837.515625,215572.9375,209061.5
P49427,CDC34,23011.1875,17190.013671875,19126.83203125,20283.958984375,29490.056640625,25761.423828125
P49454,CENPF,10047.9111328125,9507.63671875,10400.078125,10154.2607421875,9358.5546875,10698.99609375
P49458,SRP9,329632.4375,321108.21875,337563.1875,356693.28125,366391.875,342476.78125
P49459,UBE2A,20530.40625,18151.431640625,21174.833984375,22429.86328125,22415.140625,24276.619140625
P49585,PCYT1A,55671.1015625,50332.87109375,56737.20703125,53431.36328125,55151.2265625,54303.62890625
P49588,AARS,315481.8125,292262.90625,309595.21875,347528.21875,359645.0625,354713.71875
P49589,CARS,83069.703125,79069.3984375,86190.96875,82084.375,85767.6796875,85611.28125
P49590,HARS2,62293.8984375,58068.49609375,61109.58984375,67496.2578125,69363.6015625,68837.71875
P49591,SARS,79430.609375,80870.515625,88726.8984375,87249.453125,93351.7421875,93977.7734375
P49593,PPM1F,12868.146484375,10804.2412109375,11380.9248046875,13196.74609375,13806.3671875,14744.673828125
P49642,PRIM1,27293.37890625,24441.244140625,27815.2890625,26381.69140625,27875.6875,26289.29296875
P49643,PRIM2,24838.71484375,23599.03125,27287.4296875,24758.603515625,27826.296875,27266.091796875
P49711,CTCF,45212.44140625,46085.53125,46825.76171875,57234.48046875,50256.7265625,60013.4375
P49720,PSMB3,3897.04052734375,4175.69189453125,2583.328369140625,5232.45068359375,5721.03271484375,5169.2119140625
P49721,PSMB2,270279.59375,243990.625,264477.4375,302815.15625,318729.90625,327878.78125
P49736,MCM2,446981.75,413228.0625,445547.59375,463848.1875,485977.5,471558.78125
P49748,ACADVL,537305.0625,500921.53125,542608.5625,550124.25,578512.6875,570063.875
P49750,YLPM1,80009.0703125,74984.9453125,80632.34375,89721.296875,89197.7109375,92752.8984375
P49755,TMED10,183598.234375,165662.671875,179180.796875,178037.53125,187057.390625,187617.203125
P49756,RBM25,106023.1015625,97369.2734375,101738.03125,109618.671875,110607.1796875,112881.7578125
P49757,NUMB,25367.97265625,24041.2109375,27521.3984375,33162.12890625,30928.900390625,26665.4609375
P49759,CLK1,65073.98046875,70767.03125,31387.771484375,51801.01953125,68897.296875,53071.21484375
P49761,CLK3,10388.23828125,10958.8720703125,7259.146484375,8541.4853515625,9805.6982421875,9852.138671875
P49768,PSEN1,36203.3828125,32712.06640625,35075.25,34135.46484375,39582.95703125,32183.9375
P49770,EIF2B2,23144.53125,17937.736328125,19690.79296875,22430.759765625,21240.51171875,21981.900390625
P49773,HINT1,339261.46875,314220.34375,340800.71875,344953.65625,357578.15625,359144.65625
P49790,NUP153,101640.7578125,96531.1328125,97197.0234375,105330.5703125,110227.8046875,105593.6796875
P49792,RANBP2,192614.6875,174479.296875,192095.84375,200070.015625,207680.984375,207479.09375
P49815,TSC2,31667.923828125,24995.994140625,32452.630859375,28325.263671875,35177.4609375,35887.4765625
P49821,NDUFV1,161598.59375,149755.984375,155759.9375,155753.53125,158609.03125,162050.53125
P49840,GSK3A,35793.74609375,36720.96875,41919.17578125,39467.6171875,42524.87890625,43377.84375
P49841,GSK3B,30134.51171875,25072.25390625,26936.07421875,27548.958984375,26930.826171875,33460.42578125
P49848,TAF6,15366.9814453125,10559.18359375,10387.123046875,12252.42578125,13109.71875,11898.970703125
P49902,NT5C2,31857.341796875,29210.072265625,32726.78125,30492.6796875,32357.60546875,34079.80078125
P49903,SEPHS1,40003.984375,35421.390625,36393.859375,31631.2734375,35035.2109375,27930.02734375
P49914,MTHFS,30357.4375,29373.623046875,28963.57421875,32590.322265625,31483.921875,35322.44921875
P49915,GMPS,295511.4375,275128.5,292661.5,301809.34375,306189.53125,296664.5625
P49916,LIG3,48154.1484375,45512.08203125,47961.7734375,55693.36328125,61085.2109375,56924.9609375
P49959,MRE11A,54765.55859375,53020.890625,58351.2109375,55552.36328125,62355,57653.22265625
P50148,GNAQ,24070.623046875,23836.298828125,23426.525390625,20760.658203125,25135.419921875,27114.767578125
P50151,GNG10,57154.5546875,54437.5859375,55279.5546875,51191.66796875,63102.09375,56881.83203125
P50213,IDH3A,435476.9375,414773.28125,434660.03125,466975.84375,471676.90625,467596.9375
P50238,CRIP1,517355.625,541125.3125,477716.09375,559215.625,461425.375,489244.125
P50336,PPOX,18215.12109375,13819.3525390625,17639.85546875,16051.1953125,17458.5234375,17375.8671875
P50395,GDI2,403010.875,360848.5,390258.25,398496,415616.3125,415491.96875
P50402,EMD,560760.1875,516506.25,542893.3125,589509.75,593972.1875,614585.625
P50416,CPT1A,129507.4453125,113100.4609375,131938.5625,134323.0625,133356.296875,135517.921875
P50440,GATM,1920.9530029296875,893.3484497070312,2969.095703125,3124.39697265625,803.0379028320312,566.33935546875
P50453,SERPINB9,18824.1875,17637.046875,18875.986328125,21525.486328125,21590.029296875,23359.34375
P50454,SERPINH1,241311.5625,219003.109375,241696.671875,251919.296875,248838.28125,255296.5625
P50502,ST13,350137.28125,313484.125,344226.375,340016.875,346915.53125,342675.125
P50542,PEX5,2279.52880859375,2542.14501953125,2520.51806640625,2997.02099609375,3821.975341796875,2733.767333984375
P50548,ERF,5145.1875,1637.135986328125,2110.280517578125,3097.867431640625,969.605712890625,2032.4461669921875
P50552,VASP,173178.90625,156413.796875,167647.296875,185900.890625,178719.65625,185299.140625
P50570,DNM2,37728.9765625,38041.30078125,38007.93359375,39809.68359375,36604.1484375,38766.078125
P50579,METAP2,50083.984375,45079.80078125,48051.8671875,49196.9453125,50980.8515625,51511.02734375
P50583,NUDT2,447.3706359863281,219.444091796875,1330.00732421875,2450.3671875,3672.74365234375,2968.91748046875
P50613,CDK7,26163.2109375,22491.15234375,23570.642578125,23397.9296875,22749.173828125,22542.271484375
P50748,KNTC1,20991.841796875,19886.552734375,21682.9453125,20282.142578125,21124.70703125,20830.69921875
P50750,CDK9,29213.203125,30135.62890625,31081.357421875,33530.4921875,31819.64453125,31938.205078125
P50851,LRBA,40124.87890625,39855.53125,43621.375,44524.23046875,51436.1015625,46340.66796875
P50895,BCAM,15463.3271484375,15150.12109375,16048.19921875,19411.685546875,19288.1171875,13060.240234375
P50897,PPT1,29159.162109375,28534.19140625,28904.314453125,28722.642578125,27752.470703125,25102.3203125
P50914,RPL14,650213.5,597123.9375,640808.25,636828.75,676039.0625,671788.5
P50990,CCT8,650672.25,610692.5625,643191.75,660426.6875,662694.0625,682183.875
P50991,CCT4,689765.625,659056.9375,695214.75,683688.875,695649,715594.1875
P50995,ANXA11,419518.4375,402738.09375,432672.03125,489988.71875,531754.6875,535269.375
P51003,PAPOLA,41476.66796875,40695.50390625,45269.953125,37752.55859375,43552.82421875,41564.828125
P51114,FXR1,98195.3125,96429.78125,98746.9453125,104666.4921875,107952.5234375,104739.8359375
P51116,FXR2,103461.3359375,94439.2578125,98791.8125,113049.6015625,109348.640625,112698.3515625
P51148,RAB5C,1038510.375,1005015.1875,1029867.625,1100781,1109433.625,1155350.5
P51149,RAB7A,439230.6875,419674.15625,441189.375,440630.21875,472225.125,469447.65625
P51151,RAB9A,179154.8125,178609.59375,191715.03125,195351.265625,196720.765625,215078.328125
P51153,RAB13,37079.08984375,30491.91015625,35611.3203125,37206.30859375,40219.26171875,38401.4765625
P51398,DAP3,126106.7421875,119621.0390625,126198.4375,133478.71875,139779.375,140557.265625
P51452,DUSP3,28396.48046875,24448.82421875,26425.939453125,31911.689453125,31101.23046875,28021.52734375
P51531,SMARCA2,32317.599609375,30214.97265625,30218.404296875,32883.61328125,31999.765625,33860.3203125
P51553,IDH3G,97903.46875,93925.578125,93528.75,84850.6328125,98141.59375,99835.4765625
P51570,GALK1,34071.51953125,36467.8359375,36512.50390625,38112.69140625,38624.21875,42301.0234375
P51571,SSR4,245639.28125,230459.15625,257986.109375,224650.8125,268215.125,245254.390625
P51572,BCAP31,342161.9375,319229.75,342822.5625,350943.125,352254.6875,357898.46875
P51608,MECP2,10348.9033203125,9057.4072265625,11325.609375,11830.1015625,9694.76953125,11108.46875
P51610,HCFC1,115513.8359375,109554.7734375,115975.8203125,127343.5390625,124511.8984375,122095.1796875
P51617,IRAK1,7139.92236328125,6972.83984375,8462.244140625,13989.375,12372.3935546875,7895.16845703125
P51636,CAV2,43083.8984375,34877.89453125,42093.81640625,44319.4453125,38155.00390625,43433.77734375
P51648,ALDH3A2,393234.4375,371611.0625,404722.46875,405653.25,426634.21875,423319.96875
P51649,ALDH5A1,49141.71484375,53804.8984375,53029.546875,53062.859375,54825.8125,52876.18359375
P51659,HSD17B4,130358.6015625,119189.8203125,130547.25,139078.890625,141375.296875,141942.0625
P51665,PSMD7,121985.703125,111526.2890625,110401.046875,123110,128798.671875,127727.921875
P51668;Q9Y2X8,UBE2D1;UBE2D4,37497.37890625,40887.73828125,38647.6484375,37438.0546875,43776.1796875,37394.89453125
P51686,CCR9,4579.4423828125,4746.076171875,1879.4068603515625,3938.520263671875,4313.74365234375,2379.026611328125
P51690,ARSE,30573.701171875,27992.296875,30519.99609375,28473.13671875,31002.193359375,30369.0390625
P51692,STAT5B,6413.67822265625,5207.5361328125,6652.47216796875,5995.3427734375,7027.46533203125,7865.9345703125
P51784,USP11,26782.662109375,20862.21875,18298.091796875,19766.7734375,19980.47265625,21149.658203125
P51790;P51793;P51795,CLCN3;CLCN4;CLCN5,3492.16455078125,2337.0908203125,4375.8046875,3327.51025390625,4977.80712890625,3287.371826171875
P51798,CLCN7,39984.15234375,36186.546875,42803.3828125,48577.375,47480,48534.875
P51808,DYNLT3,18854.625,13835.37890625,15278.5341796875,13867.6611328125,16793.287109375,14382.46484375
P51809,VAMP7,39559.1875,40871.30859375,42746.08203125,49614.0390625,49432.546875,50694.62890625
P51812,RPS6KA3,70059.0078125,67972.7265625,72221.484375,75461.5234375,79759.8984375,79233.890625
P51843,NR0B1,25261.97265625,22015.291015625,23537.203125,23213.63671875,25363.3125,25523.302734375
P51857,AKR1D1,899450,782444.1875,792623.125,893746.1875,938907.0625,933754.5
P51858,HDGF,239963.296875,243083.421875,240482.1875,246521.953125,262536.53125,251987.078125
P51946,CCNH,26274.916015625,22131.25390625,27965.013671875,24961.4296875,24120.005859375,26057.095703125
P51948,MNAT1,19271.544921875,22530.72265625,24405.82421875,25646.423828125,21800.521484375,22220.650390625
P51965,UBE2E1,67283.3359375,69867.671875,69405.046875,67118.953125,66359.2578125,64927.07421875
P51970,NDUFA8,90128.0625,72483.2421875,99389.796875,101391.59375,96933.6015625,102067.7890625
P51991,HNRNPA3,691478.6875,628473.3125,672779.875,685901.875,697007.9375,693831.5625
P52209,PGD,1084162.5,1030116.5625,1080864.25,1127458.125,1175358.875,1191573.625
P52272,HNRNPM,1161385.25,1084048.875,1161163.25,1218300.875,1229953.5,1237732.75
P52292,KPNA2,252985.859375,240833.09375,257652.640625,268385.5,272425.6875,277494.40625
P52294,KPNA1,47740.796875,41806.3203125,42070.8125,48597.34765625,49042.03515625,50844.19140625
P52298,NCBP2,103205.3828125,107093.9296875,102905.4296875,109837.265625,125779.3203125,112635.1015625
P52306,RAP1GDS1,15391.0673828125,11305.5615234375,12409.8623046875,18725.228515625,14889.1943359375,13713.7890625
P52434,POLR2H,82765.2109375,71152.0078125,76278.75,82094.3203125,79937.4140625,81488.578125
P52564,MAP2K6,14721.22265625,11163.2353515625,12776.6240234375,8325.099609375,2195.664306640625,2232.23095703125
P52565,ARHGDIA,174187.515625,164297.1875,176442,183155.578125,208626.84375,212912.375
P52594,AGFG1,20302.16015625,18275.52734375,20404.869140625,20680.74609375,22632.31640625,22943.234375
P52597,HNRNPF,543942.1875,494141.53125,511866.75,523699.96875,520645.03125,544120.75
P52655,GTF2A1,20591.46484375,22682.203125,20645.056640625,21647.5625,21288.919921875,21818.7265625
P52657,GTF2A2,31450.1484375,29991.322265625,30128.2734375,32536.23046875,36394.2109375,31292.3984375
P52701,MSH6,159754.765625,145241.375,156667.59375,169284.296875,174405.109375,167951.125
P52732,KIF11,35922.7265625,35964.99609375,32182.6640625,35192.53515625,40390.92578125,37814.23046875
P52735,VAV2,85186.421875,84060.8515625,93314.484375,95716.59375,89888.734375,82859.359375
P52756,RBM5,25430.330078125,22860.83984375,25837.3671875,26547.408203125,26151.921875,27030.005859375
P52758,HRSP12,32287.080078125,32910.671875,30358.896484375,30665.095703125,38464.2734375,32017.27734375
P52788,SMS,89098.3828125,72177.8515625,75904.5,81133.0625,86702.9375,94141.421875
P52815,MRPL12,728247.8125,718040.125,747118.875,757936.0625,776341.5625,766812.875
P52888,THOP1,31762.66796875,30052.681640625,31117.025390625,31343.3359375,32895.78125,31959.17578125
P52895,AKR1C2,345487.375,282166.5625,318413.125,318473.96875,317886.25,349726.6875
P52907,CAPZA1,159654.125,133574.3125,144640.375,148449.96875,150933.0625,146923.921875
P52926,HMGA2,102148.671875,95461.90625,92815.90625,101022.6875,86422.3984375,99193.5859375
P52943,CRIP2,39538.3671875,43732.91015625,39332.671875,50885.48046875,51214.79296875,50984.109375
P52948,NUP98,99069.6875,97680.0390625,101068.703125,103425.2734375,106329.4453125,107622.671875
P53004,BLVRA,53019.26171875,50827.17578125,58301.58984375,58310.44140625,61599.50390625,58824.7890625
P53007,SLC25A1,175393.390625,170583.140625,180633.765625,194121.8125,190375.5625,194108.140625
P53041,PPP5C,68568.921875,59718.29296875,69355.7578125,68914.78125,76923.3046875,84365.09375
P53350,PLK1,31520.513671875,27860.306640625,29402.06640625,31032.087890625,30847.587890625,30598.29296875
P53355,DAPK1,14554.236328125,13224.2109375,12908.6162109375,14418.44140625,15754.4267578125,12703.48828125
P53365,ARFIP2,45316.56640625,39074.109375,40656.05859375,45641.04296875,46082.8515625,45049
P53367,ARFIP1,50079.26953125,45463.265625,50824.3984375,54299.6953125,49369.69921875,52092.8359375
P53384,NUBP1,16048.7021484375,19295.181640625,18162.9921875,21026.53515625,18996.546875,18612.806640625
P53396,ACLY,654145.75,614801.6875,642372.9375,658273.6875,685250.25,685059.625
P53582,METAP1,177486.75,160611.625,163788.1875,180462.1875,182563.078125,176379.703125
P53597,SUCLG1,307733.625,300195.875,323620,324107.71875,321114.78125,338223.28125
